"Arquivo","Tipo","Linhas","Score","Violacoes"
"app\admin-master\cozinha-chef\estoque\movimentacao\page.tsx","Page",343,6,"PAGE_ACCESS_DB: Pagina acessa banco de dados diretamente"
"app\admin-master\cozinha-chef\estoque\page.tsx","Page",80,6,"PAGE_ACCESS_DB: Pagina acessa banco de dados diretamente"
"app\admin-master\cozinha-chef\financeiro\page.tsx","Page",642,4,"PAGE_ACCESS_DB: Pagina acessa banco de dados diretamente; PAGE_TOO_LARGE: 642 linhas (recomendado <300)"
"app\admin-master\cozinha-chef\page.tsx","Page",113,6,"PAGE_ACCESS_DB: Pagina acessa banco de dados diretamente"
"app\admin-master\cozinha-chef\pedidos\page.tsx","Page",195,6,"PAGE_ACCESS_DB: Pagina acessa banco de dados diretamente"
"app\admin-master\cozinha-chef\pratos\novo\page.tsx","Page",448,6,"PAGE_ACCESS_DB: Pagina acessa banco de dados diretamente"
"app\admin-master\cozinha-chef\preview\page.tsx","Page",307,6,"PAGE_ACCESS_DB: Pagina acessa banco de dados diretamente"
"app\admin-master\cozinha-chef\receitas\page.tsx","Page",67,6,"PAGE_ACCESS_DB: Pagina acessa banco de dados diretamente"
"app\cozinha\catalogo\page.tsx","Page",71,6,"PAGE_ACCESS_DB: Pagina acessa banco de dados diretamente"
"components\cozinha\CatalogoUI.tsx","Component",459,4,"COMPONENT_ACCESS_DB: Componente acessa banco de dados; COMPONENT_TOO_LARGE: 459 linhas (recomendado <200)"
"components\cozinha\ModalFotoProduto.tsx","Component",170,6,"COMPONENT_ACCESS_DB: Componente acessa banco de dados"
"components\cozinha\PratoForm.tsx","Component",435,8,"COMPONENT_TOO_LARGE: 435 linhas (recomendado <200)"
"components\cozinha\ReceitaForm.tsx","Component",541,8,"COMPONENT_TOO_LARGE: 541 linhas (recomendado <200)"
"hooks\cozinha\page.tsx","Hook",101,5,"HOOK_CONTA_HTML: Hook renderiza HTML (deve ser componente)"
"hooks\cozinha\useCatalogo.ts","Hook",291,5,"HOOK_CONTA_HTML: Hook renderiza HTML (deve ser componente)"
"hooks\cozinha\usePedidos.ts","Hook",55,5,"HOOK_CONTA_HTML: Hook renderiza HTML (deve ser componente)"
"hooks\cozinha\useReceita.ts","Hook",291,5,"HOOK_CONTA_HTML: Hook renderiza HTML (deve ser componente)"
